bodyId,instance,type,pre,post,downstream,upstream,mito,size,status,cropped,statusLabel,cellBodyFiber,somaRadius,somaLocation,roiInfo,notes,inputRois,outputRois
202916528,FS4C(FQ12)_C4_R,FS4C,95,431,776,431,84,235674230,Traced,False,Roughly traced,PDM03,301.0,"[20091, 12266, 12208]","{'SNP(L)': {'pre': 93, 'post': 35, 'downstream': 762, 'upstream': 35, 'mito': 39, 'dark': 39}, 'SMP(L)': {'pre': 93, 'post': 35, 'downstream': 762, 'upstream': 35, 'mito': 39, 'dark': 39}, 'CX': {'pre': 1, 'post': 395, 'downstream': 9, 'upstream': 395, 'mito': 34, 'dark': 34}, 'FB': {'pre': 1, 'post': 395, 'downstream': 9, 'upstream': 395, 'mito': 34, 'dark': 34}, 'FBl7': {'pre': 1, 'post': 98, 'downstream': 9, 'upstream': 98, 'mito': 6, 'dark': 6}, 'FBl6': {'post': 96, 'upstream': 96, 'mito': 12, 'dark': 12}, 'FBl8': {'post': 26, 'upstream': 26}, 'FB-column3': {'post': 79, 'upstream': 79, 'mito': 1, 'dark': 1}, 'SNP(R)': {'post': 1, 'upstream': 1}, 'SMP(R)': {'post': 1, 'upstream': 1}, 'FBl5': {'post': 49, 'upstream': 49, 'mito': 6, 'dark': 6}, 'FBl4': {'post': 7, 'upstream': 7, 'mito': 1, 'dark': 1}, 'FBl3': {'post': 20, 'upstream': 20, 'mito': 4, 'dark': 4}, 'FBl2': {'post': 90, 'upstream': 90, 'mito': 5, 'dark': 5}, 'FBl1': {'post': 9, 'upstream': 9}}",FB267SMP,"['CX', 'FB', 'FB-column3', 'FBl1', 'FBl2', 'FBl3', 'FBl4', 'FBl5', 'FBl6', 'FBl7', 'FBl8', 'SMP(L)', 'SMP(R)', 'SNP(L)', 'SNP(R)']","['CX', 'FB', 'FBl7', 'SMP(L)', 'SNP(L)']"
203253072,FS4A(AB)(FQ12)_C3_R,FS4A,62,366,426,366,45,154283963,Traced,False,Roughly traced,PDM03,236.0,"[17809, 10233, 14208]","{'SNP(L)': {'pre': 52, 'post': 30, 'downstream': 352, 'upstream': 30, 'mito': 15, 'dark': 15}, 'SMP(L)': {'pre': 52, 'post': 30, 'downstream': 352, 'upstream': 30, 'mito': 15, 'dark': 15}, 'CX': {'pre': 10, 'post': 333, 'downstream': 74, 'upstream': 333, 'mito': 18, 'dark': 18}, 'FB': {'pre': 4, 'post': 278, 'downstream': 28, 'upstream': 278, 'mito': 16, 'dark': 16}, 'FBl8': {'pre': 2, 'post': 130, 'downstream': 13, 'upstream': 130, 'mito': 3, 'dark': 3}, 'FB-column3': {'pre': 1, 'post': 130, 'downstream': 7, 'upstream': 130, 'mito': 11, 'dark': 11}, 'FBl7': {'pre': 1, 'post': 31, 'downstream': 7, 'upstream': 31, 'mito': 4, 'dark': 4}, 'INP': {'post': 3, 'upstream': 3, 'mito': 1, 'dark': 1}, 'CRE(L)': {'post': 2, 'upstream': 2, 'mito': 1, 'dark': 1}, 'CRE(-RUB)(L)': {'post': 2, 'upstream': 2, 'mito': 1, 'dark': 1}, 'FBl6': {'post': 4, 'upstream': 4, 'mito': 2, 'dark': 2}, 'FBl5': {'post': 9, 'upstream': 9, 'mito': 2, 'dark': 2}, 'ICL(R)': {'post': 1, 'upstream': 1}, 'FBl4': {'post': 14, 'upstream': 14, 'mito': 1, 'dark': 1}, 'FBl3': {'post': 44, 'upstream': 44, 'mito': 1, 'dark': 1}, 'FBl2': {'post': 17, 'upstream': 17, 'mito': 2, 'dark': 2}, 'FBl1': {'pre': 1, 'post': 29, 'downstream': 8, 'upstream': 29, 'mito': 1, 'dark': 1}, 'AB(R)': {'pre': 6, 'post': 55, 'downstream': 46, 'upstream': 55, 'mito': 2, 'dark': 2}}",FB38ABSMP,"['AB(R)', 'CRE(-RUB)(L)', 'CRE(L)', 'CX', 'FB', 'FB-column3', 'FBl1', 'FBl2', 'FBl3', 'FBl4', 'FBl5', 'FBl6', 'FBl7', 'FBl8', 'ICL(R)', 'INP', 'SMP(L)', 'SNP(L)']","['AB(R)', 'CX', 'FB', 'FB-column3', 'FBl1', 'FBl7', 'FBl8', 'SMP(L)', 'SNP(L)']"
203257652,FS4C(FQ12)_C6_R,FS4C,65,270,496,270,65,209983364,Traced,False,Roughly traced,PDM02,301.0,"[22758, 16749, 10240]","{'SNP(L)': {'pre': 65, 'post': 36, 'downstream': 496, 'upstream': 36, 'mito': 28, 'dark': 28}, 'SMP(L)': {'pre': 62, 'post': 34, 'downstream': 471, 'upstream': 34, 'mito': 27, 'dark': 27}, 'CX': {'post': 229, 'upstream': 229, 'mito': 26, 'dark': 26}, 'FB': {'post': 229, 'upstream': 229, 'mito': 26, 'dark': 26}, 'FBl9': {'post': 3, 'upstream': 3}, 'FBl8': {'post': 26, 'upstream': 26, 'mito': 6, 'dark': 6}, 'FBl7': {'post': 64, 'upstream': 64, 'mito': 8, 'dark': 8}, 'FBl6': {'post': 22, 'upstream': 22, 'mito': 2, 'dark': 2}, 'SIP(L)': {'pre': 3, 'post': 2, 'downstream': 25, 'upstream': 2, 'mito': 1, 'dark': 1}, 'FBl5': {'post': 8, 'upstream': 8, 'mito': 2, 'dark': 2}, 'FBl4': {'post': 2, 'upstream': 2}, 'FBl3': {'post': 27, 'upstream': 27, 'mito': 3, 'dark': 3}, 'FBl2': {'post': 73, 'upstream': 73, 'mito': 3, 'dark': 3}, 'FBl1': {'post': 4, 'upstream': 4, 'mito': 2, 'dark': 2}}",FB267SMP,"['CX', 'FB', 'FBl1', 'FBl2', 'FBl3', 'FBl4', 'FBl5', 'FBl6', 'FBl7', 'FBl8', 'FBl9', 'SIP(L)', 'SMP(L)', 'SNP(L)']","['SIP(L)', 'SMP(L)', 'SNP(L)']"
203594169,FS4A(AB)(FQ12)_C4_R,FS4A,45,292,332,292,38,172242506,Traced,False,Roughly traced,PDM03,301.0,"[18697, 12220, 11696]","{'SNP(L)': {'pre': 39, 'post': 35, 'downstream': 285, 'upstream': 35, 'mito': 15, 'dark': 15}, 'SMP(L)': {'pre': 39, 'post': 34, 'downstream': 285, 'upstream': 34, 'mito': 15, 'dark': 15}, 'CX': {'pre': 6, 'post': 257, 'downstream': 47, 'upstream': 257, 'mito': 17, 'dark': 17}, 'FB': {'pre': 2, 'post': 197, 'downstream': 7, 'upstream': 197, 'mito': 15, 'dark': 15}, 'FBl9': {'post': 13, 'upstream': 13}, 'FBl8': {'pre': 1, 'post': 110, 'downstream': 4, 'upstream': 110, 'mito': 7, 'dark': 7}, 'FBl7': {'post': 19, 'upstream': 19, 'mito': 1, 'dark': 1}, 'FB-column3': {'pre': 1, 'post': 67, 'downstream': 3, 'upstream': 67, 'mito': 4, 'dark': 4}, 'FBl6': {'post': 3, 'upstream': 3}, 'FBl5': {'post': 7, 'upstream': 7}, 'SIP(L)': {'post': 1, 'upstream': 1}, 'FBl4': {'post': 10, 'upstream': 10, 'mito': 3, 'dark': 3}, 'FBl3': {'pre': 1, 'post': 14, 'downstream': 3, 'upstream': 14, 'mito': 1, 'dark': 1}, 'FBl2': {'post': 4, 'upstream': 4, 'mito': 1, 'dark': 1}, 'FBl1': {'post': 17, 'upstream': 17, 'mito': 2, 'dark': 2}, 'AB(R)': {'pre': 4, 'post': 60, 'downstream': 40, 'upstream': 60, 'mito': 2, 'dark': 2}}",FB38ABSMP,"['AB(R)', 'CX', 'FB', 'FB-column3', 'FBl1', 'FBl2', 'FBl3', 'FBl4', 'FBl5', 'FBl6', 'FBl7', 'FBl8', 'FBl9', 'SIP(L)', 'SMP(L)', 'SNP(L)']","['AB(R)', 'CX', 'FB', 'FB-column3', 'FBl3', 'FBl8', 'SMP(L)', 'SNP(L)']"
203594175,FS4A(AB)(FQ12)_C4_R,FS4A,57,346,380,346,44,155423263,Traced,False,Roughly traced,PDM03,301.0,"[18518, 11995, 12016]","{'SNP(L)': {'pre': 50, 'post': 35, 'downstream': 335, 'upstream': 35, 'mito': 22, 'dark': 22}, 'SMP(L)': {'pre': 49, 'post': 34, 'downstream': 328, 'upstream': 34, 'mito': 20, 'dark': 20}, 'CX': {'pre': 7, 'post': 310, 'downstream': 45, 'upstream': 310, 'mito': 14, 'dark': 12, 'light': 1, 'medium': 1}, 'FB': {'pre': 2, 'post': 270, 'downstream': 11, 'upstream': 270, 'mito': 12, 'dark': 11, 'medium': 1}, 'FBl8': {'pre': 2, 'post': 126, 'downstream': 11, 'upstream': 126, 'mito': 8, 'dark': 7, 'medium': 1}, 'FBl9': {'post': 18, 'upstream': 18}, 'FBl7': {'post': 22, 'upstream': 22, 'mito': 1, 'dark': 1}, 'FB-column3': {'post': 78, 'upstream': 78, 'mito': 1, 'dark': 1}, 'FBl6': {'post': 6, 'upstream': 6}, 'SIP(L)': {'pre': 1, 'post': 1, 'downstream': 7, 'upstream': 1, 'mito': 2, 'dark': 2}, 'FBl5': {'post': 7, 'upstream': 7, 'mito': 1, 'dark': 1}, 'FBl4': {'post': 11, 'upstream': 11}, 'FBl3': {'post': 29, 'upstream': 29, 'mito': 1, 'dark': 1}, 'FBl2': {'post': 5, 'upstream': 5}, 'FBl1': {'post': 46, 'upstream': 46, 'mito': 1, 'dark': 1}, 'AB(R)': {'pre': 5, 'post': 40, 'downstream': 34, 'upstream': 40, 'mito': 2, 'dark': 1, 'light': 1}}",FB38ABSMP,"['AB(R)', 'CX', 'FB', 'FB-column3', 'FBl1', 'FBl2', 'FBl3', 'FBl4', 'FBl5', 'FBl6', 'FBl7', 'FBl8', 'FBl9', 'SIP(L)', 'SMP(L)', 'SNP(L)']","['AB(R)', 'CX', 'FB', 'FBl8', 'SIP(L)', 'SMP(L)', 'SNP(L)']"
203598499,FB8H_L,FB8H,289,633,2153,633,133,546402307,Traced,False,Roughly traced,PDL05,,,"{'SNP(L)': {'pre': 13, 'post': 279, 'downstream': 49, 'upstream': 279, 'mito': 34, 'dark': 34}, 'SMP(L)': {'pre': 13, 'post': 277, 'downstream': 49, 'upstream': 277, 'mito': 34, 'dark': 34}, 'SIP(L)': {'post': 2, 'upstream': 2}, 'CX': {'pre': 275, 'post': 349, 'downstream': 2103, 'upstream': 349, 'mito': 80, 'dark': 38, 'light': 8, 'medium': 34}, 'FB': {'pre': 275, 'post': 348, 'downstream': 2103, 'upstream': 348, 'mito': 79, 'dark': 37, 'light': 8, 'medium': 34}, 'FBl9': {'pre': 1, 'post': 2, 'downstream': 6, 'upstream': 2}, 'FBl8': {'pre': 260, 'post': 329, 'downstream': 1981, 'upstream': 329, 'mito': 75, 'dark': 34, 'light': 8, 'medium': 33}, 'FB-column3': {'pre': 13, 'post': 23, 'downstream': 105, 'upstream': 23, 'mito': 2, 'light': 2}, 'FBl7': {'pre': 14, 'post': 16, 'downstream': 116, 'upstream': 16, 'mito': 2, 'dark': 2}, 'FBl6': {'post': 1, 'upstream': 1, 'mito': 2, 'dark': 1, 'medium': 1}, 'EB': {'post': 1, 'upstream': 1, 'mito': 1, 'dark': 1}, 'EBr6': {'post': 1, 'upstream': 1, 'mito': 1, 'dark': 1}}",SMPSLPFB8,"['CX', 'EB', 'EBr6', 'FB', 'FB-column3', 'FBl6', 'FBl7', 'FBl8', 'FBl9', 'SIP(L)', 'SMP(L)', 'SNP(L)']","['CX', 'FB', 'FB-column3', 'FBl7', 'FBl8', 'FBl9', 'SMP(L)', 'SNP(L)']"
203598504,FS4A(FQ12)_C5_R,FS4A,39,194,236,194,40,154070565,Traced,False,Roughly traced,PDM02,301.0,"[20508, 14574, 10256]","{'SNP(L)': {'pre': 38, 'post': 38, 'downstream': 232, 'upstream': 38, 'mito': 21, 'dark': 21}, 'SMP(L)': {'pre': 37, 'post': 35, 'downstream': 227, 'upstream': 35, 'mito': 19, 'dark': 19}, 'CX': {'pre': 1, 'post': 155, 'downstream': 4, 'upstream': 155, 'mito': 9, 'dark': 9}, 'FB': {'pre': 1, 'post': 155, 'downstream': 4, 'upstream': 155, 'mito': 9, 'dark': 9}, 'FBl7': {'post': 33, 'upstream': 33, 'mito': 1, 'dark': 1}, 'FBl8': {'post': 73, 'upstream': 73, 'mito': 4, 'dark': 4}, 'FBl9': {'post': 19, 'upstream': 19, 'mito': 1, 'dark': 1}, 'FBl6': {'post': 4, 'upstream': 4, 'mito': 1, 'dark': 1}, 'SIP(L)': {'pre': 1, 'post': 3, 'downstream': 5, 'upstream': 3, 'mito': 2, 'dark': 2}, 'FBl5': {'pre': 1, 'post': 4, 'downstream': 4, 'upstream': 4, 'mito': 1, 'dark': 1}, 'INP': {'post': 1, 'upstream': 1, 'mito': 1, 'dark': 1}, 'CRE(L)': {'post': 1, 'upstream': 1, 'mito': 1, 'dark': 1}, 'CRE(-RUB)(L)': {'post': 1, 'upstream': 1, 'mito': 1, 'dark': 1}, 'FBl3': {'post': 22, 'upstream': 22, 'mito': 1, 'dark': 1}}",FB138SMP,"['CRE(-RUB)(L)', 'CRE(L)', 'CX', 'FB', 'FBl3', 'FBl5', 'FBl6', 'FBl7', 'FBl8', 'FBl9', 'INP', 'SIP(L)', 'SMP(L)', 'SNP(L)']","['CX', 'FB', 'FBl5', 'SIP(L)', 'SMP(L)', 'SNP(L)']"
203598542,FS4B(FQ12)_C4_R,FS4B,57,341,414,341,52,174077906,Traced,False,Roughly traced,PDM03,301.0,"[20210, 12769, 12496]","{'SNP(L)': {'pre': 57, 'post': 30, 'downstream': 414, 'upstream': 30, 'mito': 18, 'dark': 18}, 'SMP(L)': {'pre': 57, 'post': 30, 'downstream': 414, 'upstream': 30, 'mito': 18, 'dark': 18}, 'CX': {'post': 310, 'upstream': 310, 'mito': 24, 'dark': 23, 'medium': 1}, 'FB': {'post': 310, 'upstream': 310, 'mito': 24, 'dark': 23, 'medium': 1}, 'FBl8': {'post': 81, 'upstream': 81, 'mito': 6, 'dark': 6}, 'FBl7': {'post': 105, 'upstream': 105, 'mito': 5, 'dark': 5}, 'FBl6': {'post': 19, 'upstream': 19, 'mito': 3, 'dark': 3}, 'FB-column3': {'post': 103, 'upstream': 103, 'mito': 3, 'dark': 3}, 'FBl5': {'post': 9, 'upstream': 9, 'mito': 2, 'dark': 2}, 'FBl4': {'post': 2, 'upstream': 2}, 'FBl3': {'post': 6, 'upstream': 6, 'mito': 2, 'dark': 2}, 'FBl2': {'post': 74, 'upstream': 74, 'mito': 6, 'dark': 5, 'medium': 1}, 'FBl1': {'post': 14, 'upstream': 14}}",FB128SMP,"['CX', 'FB', 'FB-column3', 'FBl1', 'FBl2', 'FBl3', 'FBl4', 'FBl5', 'FBl6', 'FBl7', 'FBl8', 'SMP(L)', 'SNP(L)']","['SMP(L)', 'SNP(L)']"
203598557,FS4B(FQ12)_C8_R,FS4B,63,380,477,380,69,198634534,Traced,False,Roughly traced,PDM01,301.0,"[24205, 15718, 9616]","{'SNP(L)': {'pre': 58, 'post': 23, 'downstream': 452, 'upstream': 23, 'mito': 28, 'dark': 28}, 'SMP(L)': {'pre': 58, 'post': 23, 'downstream': 452, 'upstream': 23, 'mito': 27, 'dark': 27}, 'CX': {'pre': 1, 'post': 355, 'downstream': 13, 'upstream': 355, 'mito': 22, 'dark': 21, 'light': 1}, 'FB': {'pre': 1, 'post': 355, 'downstream': 13, 'upstream': 355, 'mito': 22, 'dark': 21, 'light': 1}, 'FBl8': {'post': 28, 'upstream': 28, 'mito': 1, 'dark': 1}, 'FBl7': {'post': 72, 'upstream': 72, 'mito': 5, 'dark': 5}, 'FBl6': {'post': 22, 'upstream': 22}, 'FBl5': {'post': 15, 'upstream': 15, 'mito': 4, 'dark': 4}, 'FBl4': {'post': 3, 'upstream': 3, 'mito': 3, 'dark': 3}, 'mALT(L)': {'post': 1, 'upstream': 1}, 'FBl3': {'post': 25, 'upstream': 25, 'mito': 3, 'dark': 3}, 'FBl2': {'pre': 1, 'post': 148, 'downstream': 13, 'upstream': 148, 'mito': 5, 'dark': 5}, 'FBl1': {'post': 42, 'upstream': 42, 'mito': 1, 'light': 1}}",FB128SMP,"['CX', 'FB', 'FBl1', 'FBl2', 'FBl3', 'FBl4', 'FBl5', 'FBl6', 'FBl7', 'FBl8', 'SMP(L)', 'SNP(L)', 'mALT(L)']","['CX', 'FB', 'FBl2', 'SMP(L)', 'SNP(L)']"
203931040,FS4A(AB)(FQ12)_C3_R,FS4A,37,314,250,314,48,143907966,Traced,False,Roughly traced,PDM03,236.0,"[18105, 10030, 14536]","{'SNP(L)': {'pre': 31, 'post': 33, 'downstream': 218, 'upstream': 33, 'mito': 19, 'dark': 19}, 'SMP(L)': {'pre': 31, 'post': 33, 'downstream': 218, 'upstream': 33, 'mito': 18, 'dark': 18}, 'CX': {'pre': 6, 'post': 277, 'downstream': 32, 'upstream': 277, 'mito': 22, 'dark': 22}, 'FB': {'pre': 4, 'post': 238, 'downstream': 14, 'upstream': 238, 'mito': 22, 'dark': 22}, 'FBl9': {'pre': 1, 'post': 10, 'downstream': 4, 'upstream': 10, 'mito': 1, 'dark': 1}, 'FBl8': {'post': 162, 'upstream': 162, 'mito': 10, 'dark': 10}, 'FBl7': {'post': 28, 'upstream': 28, 'mito': 1, 'dark': 1}, 'FB-column3': {'pre': 3, 'post': 71, 'downstream': 10, 'upstream': 71, 'mito': 7, 'dark': 7}, 'SNP(R)': {'post': 2, 'upstream': 2}, 'SMP(R)': {'post': 2, 'upstream': 2}, 'INP': {'post': 1, 'upstream': 1, 'mito': 1, 'dark': 1}, 'CRE(L)': {'post': 1, 'upstream': 1, 'mito': 1, 'dark': 1}, 'CRE(-RUB)(L)': {'post': 1, 'upstream': 1, 'mito': 1, 'dark': 1}, 'FBl5': {'pre': 2, 'post': 4, 'downstream': 7, 'upstream': 4, 'mito': 1, 'dark': 1}, 'FBl4': {'pre': 1, 'post': 4, 'downstream': 3, 'upstream': 4}, 'FBl3': {'post': 7, 'upstream': 7, 'mito': 2, 'dark': 2}, 'FBl2': {'post': 2, 'upstream': 2, 'mito': 1, 'dark': 1}, 'FBl1': {'post': 21, 'upstream': 21, 'mito': 2, 'dark': 2}, 'AB(R)': {'pre': 2, 'post': 39, 'downstream': 18, 'upstream': 39}}",FB38ABSMP,"['AB(R)', 'CRE(-RUB)(L)', 'CRE(L)', 'CX', 'FB', 'FB-column3', 'FBl1', 'FBl2', 'FBl3', 'FBl4', 'FBl5', 'FBl7', 'FBl8', 'FBl9', 'INP', 'SMP(L)', 'SMP(R)', 'SNP(L)', 'SNP(R)']","['AB(R)', 'CX', 'FB', 'FB-column3', 'FBl4', 'FBl5', 'FBl9', 'SMP(L)', 'SNP(L)']"
204613133,FB8E_L,FB8E,209,446,1301,446,72,220786546,Traced,False,Roughly traced,AVM10,,,"{'SNP(L)': {'pre': 5, 'post': 77, 'downstream': 21, 'upstream': 77, 'mito': 15, 'dark': 11, 'medium': 4}, 'SMP(L)': {'pre': 5, 'post': 77, 'downstream': 21, 'upstream': 77, 'mito': 15, 'dark': 11, 'medium': 4}, 'CX': {'pre': 198, 'post': 365, 'downstream': 1254, 'upstream': 365, 'mito': 51, 'dark': 15, 'light': 6, 'medium': 30}, 'FB': {'pre': 198, 'post': 365, 'downstream': 1254, 'upstream': 365, 'mito': 51, 'dark': 15, 'light': 6, 'medium': 30}, 'FBl9': {'pre': 26, 'post': 73, 'downstream': 149, 'upstream': 73, 'mito': 7, 'dark': 4, 'medium': 3}, 'FBl8': {'pre': 168, 'post': 285, 'downstream': 1076, 'upstream': 285, 'mito': 42, 'dark': 11, 'light': 6, 'medium': 25}, 'FB-column3': {'pre': 9, 'post': 16, 'downstream': 60, 'upstream': 16, 'mito': 2, 'dark': 1, 'medium': 1}, 'FBl7': {'pre': 4, 'post': 7, 'downstream': 29, 'upstream': 7, 'mito': 2, 'medium': 2}, 'INP': {'post': 1, 'upstream': 1, 'mito': 1, 'dark': 1}, 'CRE(L)': {'post': 1, 'upstream': 1, 'mito': 1, 'dark': 1}, 'CRE(-RUB)(L)': {'post': 1, 'upstream': 1, 'mito': 1, 'dark': 1}, 'LX(L)': {'post': 1, 'upstream': 1, 'mito': 1, 'dark': 1}, 'BU(L)': {'post': 1, 'upstream': 1, 'mito': 1, 'dark': 1}}",SMPSIPFB8_1,"['BU(L)', 'CRE(-RUB)(L)', 'CRE(L)', 'CX', 'FB', 'FB-column3', 'FBl7', 'FBl8', 'FBl9', 'INP', 'LX(L)', 'SMP(L)', 'SNP(L)']","['CX', 'FB', 'FB-column3', 'FBl7', 'FBl8', 'FBl9', 'SMP(L)', 'SNP(L)']"
204962646,FB7L_L,FB7L,439,1283,3111,1283,223,750478326,Traced,False,Roughly traced,PDL05,,,"{'SNP(L)': {'post': 377, 'upstream': 377, 'mito': 57, 'dark': 53, 'light': 1, 'medium': 3}, 'SMP(L)': {'post': 376, 'upstream': 376, 'mito': 56, 'dark': 52, 'light': 1, 'medium': 3}, 'SIP(L)': {'post': 1, 'upstream': 1, 'mito': 1, 'dark': 1}, 'CX': {'pre': 439, 'post': 904, 'downstream': 3111, 'upstream': 904, 'mito': 142, 'dark': 60, 'light': 36, 'medium': 46}, 'FB': {'pre': 439, 'post': 904, 'downstream': 3111, 'upstream': 904, 'mito': 141, 'dark': 60, 'light': 36, 'medium': 45}, 'FBl8': {'pre': 132, 'post': 353, 'downstream': 934, 'upstream': 353, 'mito': 46, 'dark': 20, 'light': 16, 'medium': 10}, 'FBl7': {'pre': 306, 'post': 545, 'downstream': 2174, 'upstream': 545, 'mito': 88, 'dark': 35, 'light': 20, 'medium': 33}, 'FB-column3': {'pre': 44, 'post': 99, 'downstream': 302, 'upstream': 99, 'mito': 10, 'dark': 3, 'light': 2, 'medium': 5}, 'FBl6': {'pre': 1, 'post': 6, 'downstream': 3, 'upstream': 6, 'mito': 7, 'dark': 5, 'medium': 2}}",SMPSIPFB7_4,"['CX', 'FB', 'FB-column3', 'FBl6', 'FBl7', 'FBl8', 'SIP(L)', 'SMP(L)', 'SNP(L)']","['CX', 'FB', 'FB-column3', 'FBl6', 'FBl7', 'FBl8']"
205299889,FB8F_b_L,FB8F_b,90,280,475,280,62,209023331,Traced,False,Roughly traced,PDM25,,,"{'SNP(L)': {'pre': 44, 'post': 118, 'downstream': 251, 'upstream': 118, 'mito': 32, 'dark': 17, 'light': 2, 'medium': 13}, 'SMP(L)': {'pre': 44, 'post': 112, 'downstream': 251, 'upstream': 112, 'mito': 27, 'dark': 13, 'light': 2, 'medium': 12}, 'SIP(L)': {'post': 6, 'upstream': 6, 'mito': 5, 'dark': 4, 'medium': 1}, 'CX': {'pre': 46, 'post': 162, 'downstream': 224, 'upstream': 162, 'mito': 23, 'dark': 8, 'light': 6, 'medium': 9}, 'FB': {'pre': 46, 'post': 162, 'downstream': 224, 'upstream': 162, 'mito': 23, 'dark': 8, 'light': 6, 'medium': 9}, 'FBl8': {'pre': 35, 'post': 146, 'downstream': 177, 'upstream': 146, 'mito': 19, 'dark': 6, 'light': 6, 'medium': 7}, 'FBl7': {'pre': 11, 'post': 16, 'downstream': 47, 'upstream': 16, 'mito': 4, 'dark': 2, 'medium': 2}, 'FB-column3': {'pre': 1, 'post': 15, 'downstream': 5, 'upstream': 15, 'mito': 2, 'dark': 1, 'light': 1}}",SIPSLPFB8,"['CX', 'FB', 'FB-column3', 'FBl7', 'FBl8', 'SIP(L)', 'SMP(L)', 'SNP(L)']","['CX', 'FB', 'FB-column3', 'FBl7', 'FBl8', 'SMP(L)', 'SNP(L)']"
234292899,FB7M_L,FB7M,187,923,1202,923,143,347121784,Traced,False,Roughly traced,PDM25,,,"{'SNP(L)': {'pre': 19, 'post': 229, 'downstream': 124, 'upstream': 229, 'mito': 51, 'dark': 38, 'light': 1, 'medium': 12}, 'SMP(L)': {'pre': 16, 'post': 204, 'downstream': 103, 'upstream': 204, 'mito': 46, 'dark': 36, 'light': 1, 'medium': 9}, 'SIP(L)': {'pre': 3, 'post': 25, 'downstream': 21, 'upstream': 25, 'mito': 5, 'dark': 2, 'medium': 3}, 'CX': {'pre': 167, 'post': 673, 'downstream': 1071, 'upstream': 673, 'mito': 82, 'dark': 50, 'light': 5, 'medium': 27}, 'FB': {'pre': 167, 'post': 673, 'downstream': 1071, 'upstream': 673, 'mito': 82, 'dark': 50, 'light': 5, 'medium': 27}, 'FBl9': {'post': 49, 'upstream': 49, 'mito': 4, 'dark': 3, 'medium': 1}, 'FBl8': {'pre': 69, 'post': 275, 'downstream': 447, 'upstream': 275, 'mito': 46, 'dark': 32, 'light': 3, 'medium': 11}, 'FBl7': {'pre': 98, 'post': 349, 'downstream': 624, 'upstream': 349, 'mito': 32, 'dark': 15, 'light': 2, 'medium': 15}, 'FB-column3': {'pre': 8, 'post': 42, 'downstream': 60, 'upstream': 42, 'mito': 3, 'dark': 3}, 'INP': {'post': 17, 'upstream': 17}, 'CRE(L)': {'post': 17, 'upstream': 17}, 'CRE(-RUB)(L)': {'post': 17, 'upstream': 17}, 'LX(L)': {'pre': 1, 'post': 4, 'downstream': 7, 'upstream': 4, 'mito': 3, 'dark': 3}, 'BU(L)': {'pre': 1, 'post': 4, 'downstream': 7, 'upstream': 4, 'mito': 3, 'dark': 3}}",SMPSIPFB7_5,"['BU(L)', 'CRE(-RUB)(L)', 'CRE(L)', 'CX', 'FB', 'FB-column3', 'FBl7', 'FBl8', 'FBl9', 'INP', 'LX(L)', 'SIP(L)', 'SMP(L)', 'SNP(L)']","['BU(L)', 'CX', 'FB', 'FB-column3', 'FBl7', 'FBl8', 'LX(L)', 'SIP(L)', 'SMP(L)', 'SNP(L)']"
235985275,FB8E_L,FB8E,233,474,1426,474,86,245218113,Traced,False,Roughly traced,AVM10,,,"{'SNP(L)': {'pre': 5, 'post': 36, 'downstream': 22, 'upstream': 36, 'mito': 14, 'dark': 14}, 'SMP(L)': {'pre': 4, 'post': 35, 'downstream': 19, 'upstream': 35, 'mito': 12, 'dark': 12}, 'CX': {'pre': 228, 'post': 431, 'downstream': 1404, 'upstream': 431, 'mito': 66, 'dark': 32, 'light': 6, 'medium': 28}, 'FB': {'pre': 228, 'post': 431, 'downstream': 1404, 'upstream': 431, 'mito': 66, 'dark': 32, 'light': 6, 'medium': 28}, 'FBl9': {'pre': 26, 'post': 62, 'downstream': 130, 'upstream': 62, 'mito': 4, 'dark': 2, 'medium': 2}, 'FBl8': {'pre': 202, 'post': 366, 'downstream': 1274, 'upstream': 366, 'mito': 62, 'dark': 30, 'light': 6, 'medium': 26}, 'FB-column3': {'pre': 17, 'post': 18, 'downstream': 105, 'upstream': 18, 'mito': 4, 'dark': 1, 'light': 1, 'medium': 2}, 'SIP(L)': {'pre': 1, 'post': 1, 'downstream': 3, 'upstream': 1, 'mito': 2, 'dark': 2}, 'FBl7': {'post': 3, 'upstream': 3}, 'INP': {'post': 3, 'upstream': 3}, 'ICL(R)': {'post': 2, 'upstream': 2}, 'LX(L)': {'post': 1, 'upstream': 1, 'mito': 1, 'dark': 1}, 'BU(L)': {'post': 1, 'upstream': 1, 'mito': 1, 'dark': 1}, 'CRE(L)': {'post': 1, 'upstream': 1}, 'CRE(-RUB)(L)': {'post': 1, 'upstream': 1}}",SMPSIPFB8_1,"['BU(L)', 'CRE(-RUB)(L)', 'CRE(L)', 'CX', 'FB', 'FB-column3', 'FBl7', 'FBl8', 'FBl9', 'ICL(R)', 'INP', 'LX(L)', 'SIP(L)', 'SMP(L)', 'SNP(L)']","['CX', 'FB', 'FB-column3', 'FBl8', 'FBl9', 'SIP(L)', 'SMP(L)', 'SNP(L)']"
