model,seed,epoch,train_loss,val_loss,val_query_accuracy,val_initial_probe_accuracy,val_reversal_probe_accuracy,best_val_loss,patience_wait
hemibrain_dense,0,1,0.6291667219996452,0.6038023948669433,0.6582682291666667,0.6545572916666667,0.6619791666666667,0.6038023948669433,0
hemibrain_dense,0,2,0.6061256644129753,0.5999009847640991,0.6599609375,0.6559895833333333,0.6639322916666667,0.5999009847640991,0
hemibrain_dense,0,3,0.6041229286789894,0.6000341683626175,0.6606770833333333,0.6563802083333333,0.6649739583333333,0.5999009847640991,1
hemibrain_dense,0,4,0.6020553773641586,0.5995094045996666,0.6604166666666667,0.6579427083333333,0.662890625,0.5995094045996666,0
hemibrain_dense,0,5,0.604470148384571,0.5987146779894829,0.6645182291666667,0.6604166666666667,0.6686197916666666,0.5987146779894829,0
hemibrain_dense,0,6,0.6018874967098236,0.6000167161226273,0.6645833333333333,0.6623697916666667,0.666796875,0.5987146779894829,1
hemibrain_dense,0,7,0.6020816385746002,0.5990729421377182,0.661328125,0.655859375,0.666796875,0.5987146779894829,2
hemibrain_dense,0,8,0.6020567074418068,0.6001193016767502,0.6626302083333333,0.6587239583333333,0.6665364583333333,0.5987146779894829,3
hemibrain_dense,0,9,0.6006962460279465,0.5991713151335716,0.6671875,0.666015625,0.668359375,0.5987146779894829,4
hemibrain_dense,0,10,0.6015459105372429,0.5963153347373009,0.6706380208333333,0.6669270833333333,0.6743489583333333,0.5963153347373009,0
hemibrain_dense,0,11,0.5973493397235871,0.5822048529982566,0.6907552083333334,0.69375,0.6877604166666667,0.5822048529982566,0
hemibrain_dense,0,12,0.5673523738980293,0.5466293230652809,0.7177083333333333,0.7278645833333334,0.7075520833333333,0.5466293230652809,0
hemibrain_dense,0,13,0.5230721119046211,0.4967996321618557,0.758203125,0.7700520833333333,0.7463541666666667,0.4967996321618557,0
hemibrain_dense,0,14,0.4728837932646275,0.44800585359334943,0.7888020833333333,0.8026041666666667,0.775,0.44800585359334943,0
hemibrain_dense,0,15,0.4305449564754963,0.41526122242212293,0.8075520833333333,0.8205729166666667,0.79453125,0.41526122242212293,0
hemibrain_dense,0,16,0.40555194303393366,0.3911270976066589,0.8284505208333334,0.8438802083333333,0.8130208333333333,0.3911270976066589,0
hemibrain_dense,0,17,0.3825647093355656,0.36535567715764045,0.8365234375,0.8505208333333333,0.8225260416666667,0.36535567715764045,0
hemibrain_dense,0,18,0.36276020139455795,0.34586487114429476,0.8528645833333334,0.8743489583333334,0.8313802083333334,0.34586487114429476,0
hemibrain_dense,0,19,0.34429793268442155,0.33126208558678627,0.8578125,0.876953125,0.838671875,0.33126208558678627,0
hemibrain_dense,0,20,0.32397220879793165,0.31257112696766853,0.86875,0.88671875,0.85078125,0.31257112696766853,0
hemibrain_dense,0,21,0.31466173015534876,0.30575613379478456,0.8703776041666667,0.8944010416666667,0.8463541666666666,0.30575613379478456,0
hemibrain_dense,0,22,0.29797441147267817,0.2950312323868275,0.8750651041666667,0.894140625,0.8559895833333333,0.2950312323868275,0
hemibrain_dense,0,23,0.2842031027376652,0.2815510880202055,0.8819010416666667,0.9024739583333333,0.861328125,0.2815510880202055,0
hemibrain_dense,0,24,0.2703011766821146,0.26463949084281924,0.8884765625,0.91015625,0.866796875,0.26463949084281924,0
hemibrain_dense,0,25,0.2656163220107555,0.25241786502301694,0.89921875,0.9225260416666666,0.8759114583333333,0.25241786502301694,0
hemibrain_dense,0,26,0.24992266789078713,0.24257425591349602,0.9032552083333333,0.926171875,0.8803385416666667,0.24257425591349602,0
hemibrain_dense,0,27,0.23881383001804352,0.2251415479928255,0.9122395833333333,0.9354166666666667,0.8890625,0.2251415479928255,0
hemibrain_dense,0,28,0.2233165577799082,0.2112233020365238,0.9186197916666666,0.9389322916666667,0.8983072916666667,0.2112233020365238,0
hemibrain_dense,0,29,0.21785159409046173,0.2076725374907255,0.919921875,0.9419270833333333,0.8979166666666667,0.2076725374907255,0
hemibrain_dense,0,30,0.20870702788233758,0.2072554025799036,0.9188151041666667,0.9434895833333333,0.894140625,0.2072554025799036,0
hemibrain_dense,0,31,0.20329440355300904,0.1944817140698433,0.9255859375,0.9446614583333334,0.9065104166666667,0.1944817140698433,0
hemibrain_dense,0,32,0.19595760151743888,0.19473031759262086,0.9240234375,0.9451822916666667,0.9028645833333333,0.1944817140698433,1
hemibrain_dense,0,33,0.19380873903632165,0.1744243748486042,0.9331380208333333,0.952734375,0.9135416666666667,0.1744243748486042,0
hemibrain_dense,0,34,0.1863322850316763,0.1814540695399046,0.9319010416666667,0.952734375,0.9110677083333333,0.1744243748486042,1
hemibrain_dense,0,35,0.18632246453315018,0.18526519015431403,0.9301432291666667,0.9514322916666667,0.9088541666666666,0.1744243748486042,2
hemibrain_dense,0,36,0.18147936694324016,0.17243602573871614,0.933203125,0.9516927083333333,0.9147135416666666,0.17243602573871614,0
hemibrain_dense,0,37,0.17368793070316316,0.17067728638648988,0.9369140625,0.9587239583333333,0.9151041666666667,0.17067728638648988,0
hemibrain_dense,0,38,0.17302059888839721,0.17101583480834961,0.934765625,0.95390625,0.915625,0.17067728638648988,1
hemibrain_dense,0,39,0.16806084714829922,0.16380636990070344,0.9380859375,0.9578125,0.918359375,0.16380636990070344,0
hemibrain_dense,0,40,0.16652545776218175,0.15651978589594365,0.938671875,0.9602864583333334,0.9170572916666667,0.15651978589594365,0
hemibrain_dense,0,41,0.1617865864187479,0.1517075128853321,0.942578125,0.9608072916666667,0.9243489583333333,0.1517075128853321,0
hemibrain_dense,0,42,0.15355888642370702,0.1501869833096862,0.9450520833333333,0.9626302083333333,0.9274739583333333,0.1501869833096862,0
hemibrain_dense,0,43,0.15527108896523714,0.1656485103070736,0.9382161458333333,0.9614583333333333,0.9149739583333333,0.1501869833096862,1
hemibrain_dense,0,44,0.15271600138396024,0.13288715202361345,0.9498046875,0.9641927083333334,0.9354166666666667,0.13288715202361345,0
hemibrain_dense,0,45,0.14165193054825068,0.13738768473267554,0.9486328125,0.9674479166666666,0.9298177083333333,0.13288715202361345,1
hemibrain_dense,0,46,0.1402514123544097,0.12972262799739837,0.9530598958333333,0.9708333333333333,0.9352864583333333,0.12972262799739837,0
hemibrain_dense,0,47,0.13923186559230089,0.1238936334848404,0.9541666666666667,0.9682291666666667,0.9401041666666666,0.1238936334848404,0
hemibrain_dense,0,48,0.13410673931241035,0.13429025672376155,0.948046875,0.96796875,0.928125,0.1238936334848404,1
hemibrain_dense,0,49,0.1307520968094468,0.13608622439205648,0.9486979166666667,0.9670572916666667,0.9303385416666666,0.1238936334848404,2
hemibrain_dense,0,50,0.12974043257534504,0.12085301987826824,0.9569661458333333,0.9723958333333333,0.9415364583333333,0.12085301987826824,0
hemibrain_dense,0,51,0.1260356253758073,0.1180336806923151,0.95703125,0.9731770833333333,0.9408854166666667,0.1180336806923151,0
hemibrain_dense,0,52,0.12239528980106115,0.1292018186300993,0.9505859375,0.9720052083333334,0.9291666666666667,0.1180336806923151,1
hemibrain_dense,0,53,0.12298061564564705,0.12243101391941309,0.9567057291666666,0.9743489583333333,0.9390625,0.1180336806923151,2
